Ano;Período;Tipo Avaliacao;Professor;Departamento;Disciplina;Turma;Cursos;A turma se mostrou motivada para estudar a disciplina.;A turma teve facilidade para acompanhar acompanhar as atividades da disciplina;A turma se empenhou em acompanhar as atividades da disciplina.;Você apresentou plano de ensino contendo: ementa, objetivos, metodologias de ensino, critérios de avaliação, conteúdos e bibliografia da disciplina.;Os conteúdos trabalhados na disciplina foram coerentes com os que foram apresentados no plano de ensino.;Você deu retorno sobre todas as avaliações realizadas: correções, discussão dos pontos principais, esclarecimentos sobre os erros cometidos.;Os recursos didáticos, audiovisuais, tecnológicos empregados pelo(a) docente contribuíram para que a aula fosse mais produtiva.;Você cumpriu a carga horária prevista no semestre para a disciplina.;O grau de dificuldade das avaliações foi compatível com as aulas ministradas.;A disciplina contribuiu na preparação para o exercício profissional.;A disciplina contribuiu para a aquisição de formação teórica/prática na área. ;A disciplina contribuiu para a aquisição de cultura geral.;Você dispôs de horário de atendimento extra-classe.; As notas de todas as avaliações parciais foram divulgadas no SIGA até 3 (três) dias antes da data da avaliação subsequente, conforme determina o RAG. ;Você manteve um comportamento respeitoso e cortês em relação aos(às) discentes.
2018;3;DOCENTE_TURMA;D5BD0319DEDDC93630FB4344D73FD0FA;DEPTO DE CIENCIA DA COMPUTACAO /ICE;00F8A761BD443B94F1BA69720D1CC48F;C;CDARA|24A|65A|65B|65C|65E|67A|69D|71A;4;3;4;5;5;5;5;5;4;5;5;0;5;5;5
2018;3;DOCENTE_TURMA;D5BD0319DEDDC93630FB4344D73FD0FA;DEPTO DE CIENCIA DA COMPUTACAO /ICE;7E532636360F1AAB9A80AF73743C7B88;Y;CDARA|76A;2;4;5;5;5;5;5;5;3;5;5;0;5;4;5
2018;3;DOCENTE_TURMA;D5BD0319DEDDC93630FB4344D73FD0FA;DEPTO DE CIENCIA DA COMPUTACAO /ICE;0D951D0AC3B5BEF9AB4CDD272F833DB0;A;35A|65A|65AB|65AC|65B|65C|76A;3;2;4;5;4;4;5;5;5;5;5;0;5;5;5
2018;3;DOCENTE_TURMA;3C120385577038046A8A2B3ED62609B9;DEPTO DE LETRAS ESTRANGEIRAS MODERNAS;D5B19A6C2BD6D8FAF44E21394EF5AAB6;A;13ABI|13B|13LES|13LFR|13LIN|13LIT|13LLT|13LPO|2038|29A|29ABI|29LIN;4;5;4;5;5;5;5;5;5;5;5;5;5;4;5
2018;3;DOCENTE_TURMA;3C120385577038046A8A2B3ED62609B9;DEPTO DE LETRAS ESTRANGEIRAS MODERNAS;9CD6809966FF80E898DF3B0B84252818;A;13ABI|13B|13LES|13LIN|13LIT|13LLT|29ABI;4;5;4;5;5;5;5;5;5;5;5;5;5;4;5
2018;3;DOCENTE_TURMA;3C120385577038046A8A2B3ED62609B9;DEPTO DE LETRAS ESTRANGEIRAS MODERNAS;C96569E7D36FB81F2972A12E2AAB8F15;A;13ABI|13LES|13LFR|13LIN|13LPO|29A|29ABI;4;5;4;5;5;5;5;5;5;5;5;5;5;4;5
2018;3;DOCENTE_TURMA;38E514CCE5A9832A7C9E4F86A85FBAF9;DEPTO DE CIENCIAS SOCIAIS/ICH;F0952C5DCFE89EDC8AE353B345AAFB38;B;07A|10B|10L|27L|34A|66A;4;4;4;5;5;5;3;5;5;4;5;5;4;5;5
2018;3;DOCENTE_TURMA;EFD366715627CDF48C0B5F1CD5478A08;DEPTO DE ENERGIA ELETRICA /ENG;8265FFA069CDB809625CA262119055F3;A;65AI|65AK|69A|69B|69C|69D|70A;3;3;3;5;5;5;5;5;5;5;5;5;5;5;5
2018;3;DOCENTE_TURMA;EFD366715627CDF48C0B5F1CD5478A08;DEPTO DE ENERGIA ELETRICA /ENG;A92AE5CD52EA15A4DB34F0C5BF8DAB77;A;65A|65AH|65AI|65AJ|65AK|65L|69A|69B|69C|69D;3;4;3;5;5;5;5;5;5;4;4;5;5;5;5
2018;3;DOCENTE_TURMA;EFD366715627CDF48C0B5F1CD5478A08;DEPTO DE ENERGIA ELETRICA /ENG;A92AE5CD52EA15A4DB34F0C5BF8DAB77;B;65A|65AI|69A|69B|69C|69D|70A;3;4;3;5;5;5;5;5;5;4;4;5;5;5;5
